locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFLAKNEJ_01212	CDS	957	paoD		COG1975	Molybdenum cofactor insertion chaperone PaoD
IFLAKNEJ_01213	CDS	411				hypothetical protein
IFLAKNEJ_01214	CDS	96				hypothetical protein
IFLAKNEJ_01215	CDS	981				hypothetical protein
IFLAKNEJ_01216	CDS	984				hypothetical protein
IFLAKNEJ_01217	CDS	528				hypothetical protein
IFLAKNEJ_01218	CDS	273				hypothetical protein
IFLAKNEJ_01219	CDS	168				hypothetical protein
IFLAKNEJ_01220	CDS	324				hypothetical protein
IFLAKNEJ_01221	CDS	1143				hypothetical protein
IFLAKNEJ_01222	CDS	123				hypothetical protein
IFLAKNEJ_01223	CDS	288				hypothetical protein
IFLAKNEJ_01224	CDS	558	proQ_1			RNA chaperone ProQ
IFLAKNEJ_01225	CDS	2133				hypothetical protein
IFLAKNEJ_01226	CDS	291				hypothetical protein
IFLAKNEJ_01227	CDS	201				hypothetical protein
IFLAKNEJ_01228	CDS	366				hypothetical protein
IFLAKNEJ_01229	CDS	348				hypothetical protein
IFLAKNEJ_01230	CDS	306				hypothetical protein
IFLAKNEJ_01231	CDS	801				hypothetical protein
IFLAKNEJ_01232	CDS	198				hypothetical protein
IFLAKNEJ_01233	CDS	798				hypothetical protein
IFLAKNEJ_01234	CDS	1215	intS_1		COG0582	Prophage integrase IntS
IFLAKNEJ_01235	CDS	1278	xerC_3			Tyrosine recombinase XerC
IFLAKNEJ_01236	CDS	678				hypothetical protein
IFLAKNEJ_01237	CDS	1842				hypothetical protein
IFLAKNEJ_01238	CDS	198				hypothetical protein
IFLAKNEJ_01239	CDS	1032				hypothetical protein
IFLAKNEJ_01240	CDS	384				hypothetical protein
IFLAKNEJ_01241	CDS	198				hypothetical protein
IFLAKNEJ_01242	CDS	300				hypothetical protein
IFLAKNEJ_01243	CDS	204				hypothetical protein
IFLAKNEJ_01244	CDS	384				hypothetical protein
IFLAKNEJ_01245	CDS	270				hypothetical protein
IFLAKNEJ_01246	CDS	669				hypothetical protein
IFLAKNEJ_01247	CDS	183				hypothetical protein
IFLAKNEJ_01248	CDS	552	hin_1		COG1961	DNA-invertase hin
IFLAKNEJ_01249	CDS	159				hypothetical protein
IFLAKNEJ_01250	CDS	153				hypothetical protein
IFLAKNEJ_01251	tRNA	76				tRNA-Thr(cgt)
IFLAKNEJ_01252	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
IFLAKNEJ_01253	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
IFLAKNEJ_01254	CDS	1056	phoE		COG3203	Outer membrane porin PhoE
IFLAKNEJ_01255	CDS	402	crl			Sigma factor-binding protein Crl
IFLAKNEJ_01256	CDS	1245				hypothetical protein
IFLAKNEJ_01257	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
IFLAKNEJ_01258	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
IFLAKNEJ_01259	CDS	615	prfB_1		COG1186	Peptide chain release factor RF2
IFLAKNEJ_01260	CDS	1140	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
IFLAKNEJ_01261	CDS	453	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
IFLAKNEJ_01262	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
IFLAKNEJ_01263	CDS	636	lafU		COG1360	Chemotaxis protein LafU
IFLAKNEJ_01264	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
IFLAKNEJ_01265	CDS	279				hypothetical protein
IFLAKNEJ_01266	CDS	357				hypothetical protein
IFLAKNEJ_01267	CDS	774				hypothetical protein
IFLAKNEJ_01268	CDS	261	dinJ			Antitoxin DinJ
IFLAKNEJ_01269	CDS	279	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
IFLAKNEJ_01270	CDS	741				hypothetical protein
IFLAKNEJ_01271	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
IFLAKNEJ_01272	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
IFLAKNEJ_01273	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
IFLAKNEJ_01274	CDS	447	ivy			Inhibitor of vertebrate lysozyme
IFLAKNEJ_01275	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
IFLAKNEJ_01276	CDS	1044				ISAs1 family transposase ISEc1
IFLAKNEJ_01277	CDS	450				hypothetical protein
IFLAKNEJ_01278	CDS	1209				hypothetical protein
IFLAKNEJ_01279	CDS	2505	rhsD_2		COG3209	Protein RhsD
IFLAKNEJ_01280	CDS	2142	vgrG1_2	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
IFLAKNEJ_01281	CDS	519	hcpA_1		COG3157	Major exported protein
IFLAKNEJ_01282	CDS	501				hypothetical protein
IFLAKNEJ_01283	CDS	225				hypothetical protein
IFLAKNEJ_01284	CDS	1476				hypothetical protein
IFLAKNEJ_01285	CDS	414				hypothetical protein
IFLAKNEJ_01286	CDS	1851				hypothetical protein
IFLAKNEJ_01287	CDS	1083				hypothetical protein
IFLAKNEJ_01288	CDS	1281				hypothetical protein
IFLAKNEJ_01289	CDS	525				hypothetical protein
IFLAKNEJ_01290	CDS	1332				hypothetical protein
IFLAKNEJ_01291	CDS	762				hypothetical protein
IFLAKNEJ_01292	CDS	2760	clpV1_1		COG0542	Protein ClpV1
IFLAKNEJ_01293	CDS	744				hypothetical protein
IFLAKNEJ_01294	CDS	1416				hypothetical protein
IFLAKNEJ_01295	CDS	3525				hypothetical protein
IFLAKNEJ_01296	CDS	1353				hypothetical protein
IFLAKNEJ_01297	CDS	483	hcpA_2		COG3157	Major exported protein
IFLAKNEJ_01298	CDS	915				hypothetical protein
IFLAKNEJ_01299	CDS	480				hypothetical protein
IFLAKNEJ_01300	CDS	786				hypothetical protein
IFLAKNEJ_01301	tRNA	77				tRNA-Asp(gtc)
IFLAKNEJ_01302	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
IFLAKNEJ_01303	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
IFLAKNEJ_01304	CDS	723				hypothetical protein
IFLAKNEJ_01305	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
IFLAKNEJ_01306	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
IFLAKNEJ_01307	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
IFLAKNEJ_01308	CDS	780				hypothetical protein
IFLAKNEJ_01309	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
IFLAKNEJ_01310	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
IFLAKNEJ_01311	rRNA	1538				16S ribosomal RNA
IFLAKNEJ_01312	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
IFLAKNEJ_01313	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
IFLAKNEJ_01314	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
IFLAKNEJ_01315	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
IFLAKNEJ_01316	CDS	405	rcsF			Outer membrane lipoprotein RcsF
IFLAKNEJ_01317	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
IFLAKNEJ_01318	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
IFLAKNEJ_01319	CDS	582				hypothetical protein
IFLAKNEJ_01320	CDS	981				IS110 family transposase IS621
IFLAKNEJ_01321	CDS	711	nlpE		COG3015	Lipoprotein NlpE
IFLAKNEJ_01322	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
IFLAKNEJ_01323	CDS	546	yaeQ		COG4681	putative protein YaeQ
IFLAKNEJ_01324	CDS	201				hypothetical protein
IFLAKNEJ_01325	CDS	261	rof		COG4568	Protein rof
IFLAKNEJ_01326	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IFLAKNEJ_01327	CDS	390				hypothetical protein
IFLAKNEJ_01328	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
IFLAKNEJ_01329	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
IFLAKNEJ_01330	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
IFLAKNEJ_01331	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
IFLAKNEJ_01332	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
IFLAKNEJ_01333	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
IFLAKNEJ_01334	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
IFLAKNEJ_01335	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
IFLAKNEJ_01336	CDS	486	skp		COG2825	Chaperone protein Skp
IFLAKNEJ_01337	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
IFLAKNEJ_01338	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
IFLAKNEJ_01339	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
IFLAKNEJ_01340	CDS	153				hypothetical protein
IFLAKNEJ_01341	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
IFLAKNEJ_01342	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
IFLAKNEJ_01343	CDS	558	frr		COG0233	Ribosome-recycling factor
IFLAKNEJ_01344	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
IFLAKNEJ_01345	CDS	852	tsf		COG0264	Elongation factor Ts
IFLAKNEJ_01346	CDS	726	rpsB		COG0052	30S ribosomal protein S2
IFLAKNEJ_01347	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
IFLAKNEJ_01348	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
IFLAKNEJ_01349	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
IFLAKNEJ_01350	CDS	387				hypothetical protein
IFLAKNEJ_01351	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
IFLAKNEJ_01352	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
IFLAKNEJ_01353	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
IFLAKNEJ_01354	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
IFLAKNEJ_01355	CDS	801	btuF		COG0614	Vitamin B12-binding protein
IFLAKNEJ_01356	CDS	624				hypothetical protein
IFLAKNEJ_01357	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
IFLAKNEJ_01358	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
IFLAKNEJ_01359	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
IFLAKNEJ_01360	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
IFLAKNEJ_01361	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
IFLAKNEJ_01362	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
IFLAKNEJ_01363	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
IFLAKNEJ_01364	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
IFLAKNEJ_01365	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
IFLAKNEJ_01366	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
IFLAKNEJ_01367	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
IFLAKNEJ_01368	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
IFLAKNEJ_01369	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
IFLAKNEJ_01370	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
IFLAKNEJ_01371	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
IFLAKNEJ_01372	CDS	585	yadN			putative fimbrial-like protein YadN
IFLAKNEJ_01373	CDS	741	yadV			putative fimbrial chaperone YadV
IFLAKNEJ_01374	CDS	2601	htrE		COG3188	Outer membrane usher protein HtrE
IFLAKNEJ_01375	CDS	570	yadM			putative fimbrial-like protein YadM
IFLAKNEJ_01376	CDS	603	yadL			putative fimbrial-like protein YadL
IFLAKNEJ_01377	CDS	597	yadK			putative fimbrial-like protein YadK
IFLAKNEJ_01378	CDS	1275	yadC			putative fimbrial-like protein YadC
IFLAKNEJ_01379	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
IFLAKNEJ_01380	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
IFLAKNEJ_01381	CDS	960				ISNCY family transposase ISRor2
IFLAKNEJ_01382	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
IFLAKNEJ_01383	CDS	1230				hypothetical protein
IFLAKNEJ_01384	CDS	441				hypothetical protein
IFLAKNEJ_01385	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
IFLAKNEJ_01386	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
IFLAKNEJ_01387	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
IFLAKNEJ_01388	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
IFLAKNEJ_01389	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
IFLAKNEJ_01390	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
IFLAKNEJ_01391	CDS	309				hypothetical protein
IFLAKNEJ_01392	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
IFLAKNEJ_01393	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
IFLAKNEJ_01394	CDS	363				hypothetical protein
IFLAKNEJ_01395	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
IFLAKNEJ_01396	CDS	1758				hypothetical protein
IFLAKNEJ_01397	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
IFLAKNEJ_01398	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
IFLAKNEJ_01399	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
IFLAKNEJ_01400	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
IFLAKNEJ_01401	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
IFLAKNEJ_01402	CDS	855	ampE		COG3725	Protein AmpE
IFLAKNEJ_01403	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
IFLAKNEJ_01404	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
IFLAKNEJ_01405	CDS	441				hypothetical protein
IFLAKNEJ_01406	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
IFLAKNEJ_01407	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
IFLAKNEJ_01408	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
IFLAKNEJ_01409	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
IFLAKNEJ_01410	CDS	744	zapD		COG4582	Cell division protein ZapD
IFLAKNEJ_01411	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
IFLAKNEJ_01412	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
IFLAKNEJ_01413	CDS	2706	secA		COG0653	Protein translocase subunit SecA
IFLAKNEJ_01414	CDS	588	secM			Secretion monitor
IFLAKNEJ_01415	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
IFLAKNEJ_01416	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
IFLAKNEJ_01417	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
IFLAKNEJ_01418	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
IFLAKNEJ_01419	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
IFLAKNEJ_01420	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
IFLAKNEJ_01421	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IFLAKNEJ_01422	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
IFLAKNEJ_01423	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
IFLAKNEJ_01424	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
IFLAKNEJ_01425	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
IFLAKNEJ_01426	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
IFLAKNEJ_01427	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
IFLAKNEJ_01428	CDS	366	ftsL		COG3116	Cell division protein FtsL
IFLAKNEJ_01429	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
IFLAKNEJ_01430	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
IFLAKNEJ_01431	CDS	1005	cra		COG1609	Catabolite repressor/activator
IFLAKNEJ_01432	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
IFLAKNEJ_01433	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
IFLAKNEJ_01434	CDS	945	leuO			HTH-type transcriptional regulator LeuO
IFLAKNEJ_01435	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
IFLAKNEJ_01436	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
IFLAKNEJ_01437	CDS	1401	leuC_2	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
IFLAKNEJ_01438	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
IFLAKNEJ_01439	CDS	1179	setA			Sugar efflux transporter A
IFLAKNEJ_01440	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
IFLAKNEJ_01441	CDS	1656	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
IFLAKNEJ_01442	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
IFLAKNEJ_01443	CDS	1611				hypothetical protein
IFLAKNEJ_01444	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
IFLAKNEJ_01445	CDS	765	yabI		COG0586	Inner membrane protein YabI
IFLAKNEJ_01446	CDS	879	araC			Arabinose operon regulatory protein
IFLAKNEJ_01447	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
IFLAKNEJ_01448	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
IFLAKNEJ_01449	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
IFLAKNEJ_01450	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
IFLAKNEJ_01451	CDS	2907	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
IFLAKNEJ_01452	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
IFLAKNEJ_01453	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
IFLAKNEJ_01454	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
IFLAKNEJ_01455	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
IFLAKNEJ_01456	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
IFLAKNEJ_01457	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
IFLAKNEJ_01458	CDS	378	apaG		COG2967	Protein ApaG
IFLAKNEJ_01459	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
IFLAKNEJ_01460	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
IFLAKNEJ_01461	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
IFLAKNEJ_01462	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
IFLAKNEJ_01463	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
IFLAKNEJ_01464	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
IFLAKNEJ_01465	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
IFLAKNEJ_01466	CDS	942	fixB_1		COG2025	Protein FixB
IFLAKNEJ_01467	CDS	771	fixA_1		COG2086	Protein FixA
IFLAKNEJ_01468	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
IFLAKNEJ_01469	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
IFLAKNEJ_01470	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
IFLAKNEJ_01471	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
IFLAKNEJ_01472	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
IFLAKNEJ_01473	CDS	591	yrdA_1		COG0663	Protein YrdA
IFLAKNEJ_01474	CDS	396				hypothetical protein
IFLAKNEJ_01475	CDS	219				hypothetical protein
IFLAKNEJ_01476	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
IFLAKNEJ_01477	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
IFLAKNEJ_01478	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
IFLAKNEJ_01479	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
IFLAKNEJ_01480	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
IFLAKNEJ_01481	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
IFLAKNEJ_01482	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
IFLAKNEJ_01483	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
IFLAKNEJ_01484	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
IFLAKNEJ_01485	CDS	264	rpsT		COG0268	30S ribosomal protein S20
IFLAKNEJ_01486	CDS	213				hypothetical protein
IFLAKNEJ_01487	CDS	777				hypothetical protein
IFLAKNEJ_01488	CDS	1170	yehB_1		COG3188	Outer membrane usher protein YehB
IFLAKNEJ_01489	CDS	960				hypothetical protein
IFLAKNEJ_01490	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
IFLAKNEJ_01491	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
IFLAKNEJ_01492	CDS	210				hypothetical protein
IFLAKNEJ_01493	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
IFLAKNEJ_01494	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
IFLAKNEJ_01495	CDS	405				hypothetical protein
IFLAKNEJ_01496	CDS	714				hypothetical protein
IFLAKNEJ_01497	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
IFLAKNEJ_01498	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
IFLAKNEJ_01499	CDS	954	tal_1	2.2.1.2		Transaldolase
IFLAKNEJ_01500	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
IFLAKNEJ_01501	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
IFLAKNEJ_01502	CDS	297				hypothetical protein
IFLAKNEJ_01503	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
IFLAKNEJ_01504	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
IFLAKNEJ_01505	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
IFLAKNEJ_01506	CDS	687	trmH_1	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
IFLAKNEJ_01507	CDS	717	arcA		COG0745	Aerobic respiration control protein ArcA
IFLAKNEJ_01508	CDS	1353	creD		COG4452	Inner membrane protein CreD
IFLAKNEJ_01509	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
IFLAKNEJ_01510	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
IFLAKNEJ_01511	CDS	474				hypothetical protein
IFLAKNEJ_01512	CDS	870	rob_2		COG2207	Right origin-binding protein
IFLAKNEJ_01513	CDS	648	pspB_1	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
IFLAKNEJ_01514	CDS	513	yjjX	3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
IFLAKNEJ_01515	CDS	297	trpR		COG2973	Trp operon repressor
IFLAKNEJ_01516	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
IFLAKNEJ_01517	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
IFLAKNEJ_01518	CDS	1233	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
IFLAKNEJ_01519	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
IFLAKNEJ_01520	CDS	969	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
IFLAKNEJ_01521	CDS	645	ytjB		COG3726	putative inner membrane protein Smp
IFLAKNEJ_01522	CDS	1017	lplA	6.3.1.20	COG0095	Lipoate-protein ligase A
IFLAKNEJ_01523	CDS	150				hypothetical protein
IFLAKNEJ_01524	CDS	720	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
IFLAKNEJ_01525	CDS	1224	deoB_1	5.4.2.7	COG1015	Phosphopentomutase
IFLAKNEJ_01526	CDS	1323	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
IFLAKNEJ_01527	CDS	780	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
IFLAKNEJ_01528	CDS	1551	yjjI			putative protein YjjI
